h3_unit,country_output_weight,active_rate_country,active_rate_non_country,active_rate_gap,mean_h3_country,mean_h3_non_country,mean_h3_gap,mean_contrib_country,mean_contrib_non_country,mean_contrib_gap,abs_contrib_gap
35,-0.07199732959270477,0.9691689008042895,0.9389920424403183,0.030176858363971215,0.8701941967010498,0.8159040212631226,0.054290175437927246,-0.06265165656805038,-0.058742914348840714,-0.003908742219209671,0.003908742219209671
14,0.11394054442644119,1.0,0.9456233421750663,0.05437665782493373,2.0239834785461426,2.048963785171509,-0.02498030662536621,0.23061376810073853,0.23346003890037537,-0.002846270799636841,0.002846270799636841
7,0.20200924575328827,0.9892761394101877,0.9694960212201591,0.01978011819002856,0.9204219579696655,0.9318379163742065,-0.011415958404541016,0.18593372404575348,0.18823987245559692,-0.002306148409843445,0.002306148409843445
52,-0.04829231649637222,1.0,0.993368700265252,0.006631299734747964,3.9398367404937744,3.9858238697052,-0.04598712921142578,-0.19026385247707367,-0.19248469173908234,0.002220839262008667,0.002220839262008667
30,0.7144184112548828,0.9986595174262735,0.9946949602122016,0.003964557214071851,1.0246086120605469,1.0232149362564087,0.0013936758041381836,0.7319992184638977,0.7310035824775696,0.000995635986328125,0.000995635986328125
21,0.020878782495856285,0.9973190348525469,0.9655172413793104,0.03180179347323653,1.1802278757095337,1.2056149244308472,-0.025387048721313477,0.024641722440719604,0.02517177350819111,-0.0005300510674715042,0.0005300510674715042
1,0.09900720417499542,1.0,1.0,0.0,2.3329930305480957,2.3375957012176514,-0.004602670669555664,0.23098313808441162,0.2314388006925583,-0.0004556626081466675,0.0004556626081466675
34,0.7958365082740784,1.0,1.0,0.0,3.8890089988708496,3.8891701698303223,-0.00016117095947265625,3.095015287399292,3.0951435565948486,-0.00012826919555664062,0.00012826919555664062
18,-0.03511491045355797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,-0.05521271377801895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.012930837459862232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,-0.0601811520755291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.062108058482408524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,-0.06260355561971664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.08059197664260864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,-0.03272046521306038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,0.09126457571983337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,-0.04754626750946045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,0.025022827088832855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,-0.07750318944454193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
